"名称","名称カナ","住所","TEL","FAX","URL","備考","備考２","備考３","備考４","備考５","経度","緯度","分類"
"池田５丁目第２公園","","神奈川県横須賀市池田町5-58-50","","","","トイレなし 面積：3,143㎡ 平成22年12月10日開設","","","","","139.688632242612","35.2484509263436","街区公園（東部）"
"馬堀海岸４丁目さんかく公園","","神奈川県横須賀市馬堀海岸4-1-8","","","","トイレなし 面積：1,421㎡ 平成25年6月10日開設","","","","","139.712099391647","35.261634366871","街区公園（東部）"
"根岸１丁目公園","","神奈川県横須賀市根岸町1-9-20","","","","トイレなし 面積：1,251㎡ 平成28年6月11日開設","","","","","139.688069303661","35.2550892294479","街区公園（東部）"
"東浦賀２丁目第２公園","","神奈川県横須賀市東浦賀2-67-27","","","","トイレなし 面積：450㎡ 平成25年6月25日開設","","","","","139.725696360806","35.2416475869531","街区公園（東部）"
"長沢３丁目公園","","神奈川県横須賀市長沢3-1857-27","","","","トイレなし 面積：1,384㎡ 平成23年7月11日開設","","","","","139.682803261229","35.2102851990068","街区公園（東部）"
"池田公園","","神奈川県横須賀市池田町２丁目１１番地","","","","トイレあり 面積：664㎡ 昭和40年4月1日開設","","","","","139.69401180929","35.2493147529388","街区公園（東部）"
"池田第２公園","","神奈川県横須賀市池田町６丁目４９番地","","","","トイレなし 面積：245㎡ 昭和43年12月11日開設","","","","","139.692907899018","35.2495707426728","街区公園（東部）"
"池田第３公園","","神奈川県横須賀市池田町６丁目８０番地","","","","トイレなし 面積：1,137㎡ 昭和43年12月11日開設","","","","","139.690409099367","35.2486328798561","街区公園（東部）"
"池田第４公園","","神奈川県横須賀市池田町６丁目６１番地","","","","トイレなし 面積：4,914㎡ 昭和43年12月11日開設","","","","","139.689689155702","35.2476949903331","街区公園（東部）"
"池田第５公園","","神奈川県横須賀市池田町６丁目９０番地","","","","トイレなし 面積：1,866㎡ 昭和46年4月1日開設","","","","","139.690860059696","35.2469280534602","街区公園（東部）"
"池田６丁目公園（旧池田２丁目）","","神奈川県横須賀市池田町６丁目５５番１","","","","トイレなし 面積：2,524㎡ 昭和57年4月1日開設","","","","","139.692553924575","35.2478189330296","街区公園（東部）"
"池田諏の宮前公園","","神奈川県横須賀市池田町２丁目４６番地","","","","トイレなし 面積：451㎡ 昭和52年12月6日開設","","","","","139.692142954462","35.2459721345156","街区公園（東部）"
"大津おりょうさん公園（旧大津３丁目）","","神奈川県横須賀市大津町３丁目５１番２","","","","トイレなし 面積：424㎡ 昭和26年3月1日開設","","","","","139.69630262909","35.2603965987391","街区公園（東部）"
"大津５丁目公園","","神奈川県横須賀市大津町５丁目４７番地","","","","トイレなし 面積：346㎡ 昭和51年12月14日開設","","","","","139.686178480024","35.2597277576941","街区公園（東部）"
"桜が丘１丁目公園","","神奈川県横須賀市桜が丘１丁目３５番地","","","","トイレなし 面積：4,669㎡ 昭和54年4月1日開設","","","","","139.700060331074","35.2548241186781","街区公園（東部）"
"桜が丘１丁目第２公園","","神奈川県横須賀市桜が丘１丁目４１番地","","","","トイレなし 面積：4,621㎡ 昭和53年11月13日開設","","","","","139.702052171416","35.2582757659124","街区公園（東部）"
"桜が丘１丁目第３公園","","神奈川県横須賀市桜が丘１丁目９１番地","","","","トイレあり 面積：2,036㎡ 昭和50年4月1日開設","","","","","139.702380146282","35.255487036713","街区公園（東部）"
