"名称","名称カナ","住所","TEL","FAX","URL","備考","備考２","備考３","備考４","備考５","経度","緯度","分類"
"総合体育会館メインアリーナ","","神奈川県横須賀市不入斗町1-2","046-826-2800","","http://www.city.yokosuka.kanagawa.jp/2130/sisetu/fc00000388.html","○メインアリーナ　競技場面積  2,106㎡、競技種目  バスケットボール２面、バレーボール３面、卓球28台、ハンドボール１面、フットサル1面、バドミントン12面、体操器具一式、格技(柔道・剣道・その他)、観覧席  固定(1,408席)、附属室  役員室(１室)、放送室(１室)、機具庫(４室)、附属棟、事務室(１室)、会議室(１室)、医務室(１室)、第1体育室  (格技・その他)、第2体育室  (格技・その他)、第3体育室  (卓球・軽スポーツ)、第4体育室  (卓球・軽スポーツ)、トレーニング室(１室)、ミーティングルーム(１室)　○サブアリーナ　競技場面積  975㎡、競技種目  バスケットボール1面、ミニバスケットボール2面、バレーボール2面、卓球10台、バドミントン6面、格技(柔道・剣道・その他)ミーティングルーム(2室)、事務室(1室)、放送室(1室)、役員控室(1室)、器具庫(1室)、身障者更衣室(1室)　《駐車場》あり（有料・不入斗公園と共用）※館内のレストランもご利用ください。レストラン「オールシーズン」　80席","","","","","139.663893428123","35.2677451695014","体育施設"
"北体育会館","","神奈川県横須賀市夏島町2","046-865-9333","","http://www.city.yokosuka.kanagawa.jp/2130/sisetu/fc00000394.html","競技場面積 1,454㎡　　競技種目  バスケットボール2面、バレーボール2面、卓球21台、ハンドボール1面、バドミントン8面、体操器具一式、格技(剣道、その他)、観客席　固定(220席)、事務室(１室)、体育相談室(1室)、役員控室兼幼児室(1室)、器具庫(1室)、小体育室(1室)、身障者室(2室)≪駐車場≫あり（有料・追浜公園と共用）","","","","","139.635646880559","35.3174217939433","体育施設"
"南体育会館","","神奈川県横須賀市久里浜6-14-1","046-835-0780","","http://www.city.yokosuka.kanagawa.jp/2130/sisetu/fc00000392.html","競技場面積 1,604㎡競技　　種目  バスケットボール2面、バレーボール3面、卓球24台、ハンドボール1面、バドミントン12面、体操器具一式、格技(剣道、その他)、観覧席　固定(344席)、事務室(1室)、放送室(1室)、体育相談室(1室)、役員控室兼幼児室(1室)、器具庫(3室)、小体育室(1室)≪駐車場≫あり（無料）","","","","","139.705419952417","35.2272790497188","体育施設"
"西体育会館","","神奈川県横須賀市長坂1-2-3","046-856-8199","","http://www.city.yokosuka.kanagawa.jp/2130/sisetu/fc00000386.html","競技場面積　1,435㎡　　競技種目　バスケットボール2面、バレーボール2面、卓球20台、ハンドボール1面、バドミントン8面、体操器具一式、格技(剣道、その他)観覧席　固定(316席)、事務室(1室)、放送室(1室)、体育相談室(1室)、役員室(1室)、幼児室(1室)、器具庫(2室)、小体育室(1室)　≪駐車場≫あり（無料）","","","","","139.62557691664","35.2218099986183","体育施設"
"追浜公園","","神奈川県横須賀市夏島町2","046-865-3307","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000039.html","○硬式野球場1面、庭球場4面※駐車台数に限りがあるため、土・日・祝日は駐車場が大変込み合います。極力乗り合いでご来場下さいますようお願い致します。","","","","","139.634756978049","35.3194516746591","体育施設"
"不入斗公園","","神奈川県横須賀市不入斗町1-2","046-823-9360","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000043.html","軟式野球場2面、庭球場8面、陸上競技場1ヵ所、弓道場1ヵ所、体育館及びプール（教育委員会管理）※駐車台数に限りがあるため、土・日・祝日は駐車場が大変込み合います。極力乗り合いでご来場下さいますようお願い致します。","","","","","139.664693369049","35.2681251161026","体育施設"
"はまゆう公園","","神奈川県横須賀市不入斗町4-25","046-826-2874","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000047.html","市の花、ハマユウの名のついた公園です。市の中心部から徒歩圏内にある公園としてサッカー等の運動場や憩の広場になっています。運動場１ヵ所○駐車場：46台※「坂本みんなの家」前の駐車場をご利用ください。○面積：24,664平方メートル　○整備日：金曜日・国民の休日の場合、翌週月曜日は整備のため使用休止・12月29日から1月3日は年末年始で休園","","","","","139.66357347685","35.273944489403","体育施設"
"衣笠公園","","神奈川県横須賀市平作1-6-2","046-851-0947","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000037.html","軟式野球場がある公園で、少年野球やシルバー野球などが盛んに行われています。軟式野球場１面○駐車場：７台（無料）※駐車台数に限りがあるため、土・日・祝日は駐車場が大変込み合います。極力乗り合いでご来場下さいますようお願い致します。","","","","","139.657013920753","35.2571864358213","体育施設"
"大津公園","","神奈川県横須賀市大津町5-4-1","046-823-1550","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000042.html","1951年（昭和26年）に、国から旧海軍の射撃場跡地の譲渡を受け、整備された公園です。運動場、野球場、テニスコート、相撲場を備えており、さまざまなスポーツ大会などにも利用されています。※駐車台数に限りがあるため、土・日・祝日は駐車場が大変込み合います。極力乗り合いでご来場下さいますようお願い致します。","","","","","139.687921326854","35.2581659060044","体育施設"
"光の丘公園","","神奈川県横須賀市光の丘8-9","046-849-9120","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000057.html","YRP（横須賀リサーチパーク）の開発に伴って作られた遊水地を利用し、砂入り人工芝のテニスコート及びナイター設備が整備されています。庭球場４面○整備日：第一・第三木曜日（8:30～11:00の間のみ使用休止）・国民の休日の場合は、翌日の8:30～11:00の間のみ整備のため使用休止・12月29日から1月3日は年末年始で休園","","","","","139.670673112549","35.2234598301059","体育施設"
