"名称","名称カナ","住所","TEL","FAX","URL","備考","備考２","備考３","備考４","備考５","経度","緯度","分類"
"三笠公園","","神奈川県横須賀市稲岡町82-14","046-824-6291","046-825-4440","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000436.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.673992585207","35.2849733651682","公園（観光施設）"
"しょうぶ園","","神奈川県横須賀市阿部倉18-1","046-853-3688","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000438.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.641065466914","35.2565362884151","公園（観光施設）"
"ペリー公園","","神奈川県横須賀市久里浜7-15-1","046-834-7531","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000435.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.712059491647","35.2240593847851","公園（観光施設）"
"猿島公園","","神奈川県横須賀市猿島１","046-822-9561","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000431.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.693980851296","35.2858933143828","公園（観光施設）"
"くりはま花の国","","神奈川県横須賀市神明町1","046-833-8282","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000434.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.704970071236","35.2226795399611","公園（観光施設）"
"海辺つり公園","","神奈川県横須賀市平成町3-1","046-822-4022","046-822-4054","http://www.city.yokosuka.kanagawa.jp/5575/sisetu/fc00000440.html","施設情報については上記ＵＲＬからご確認ください。","","","","","139.690531127534","35.2672049699497","公園（観光施設）"
"うみかぜ公園","","神奈川県横須賀市平成町3-23","046-826-2899","046-826-2897","http://www.city.yokosuka.kanagawa.jp/5575/sisetu/fc00000441.html","施設情報については上記ＵＲＬからご確認ください。","","","","","139.683321755109","35.2766940753168","公園（観光施設）"
"荒崎公園","","神奈川県横須賀市長井6-5320-3","046-822-8333","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000433.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.599828776467","35.1952028236388","公園（観光施設）"
"陸軍桟橋(西浦賀みなと緑地)","","神奈川県横須賀市西浦賀1丁目","046-822-4022","046-822-4054","http://www.city.yokosuka.kanagawa.jp/5575/sisetu/fc00000572.html","施設情報については上記ＵＲＬからご確認ください。","","","","","139.721298622473","35.2390579045637","公園（観光施設）"
"走水観音崎遊歩道（走水観音崎ボードウォーク）","","神奈川県横須賀市走水2丁目","046-822-8531","046-826-3210","http://www.city.yokosuka.kanagawa.jp/5575/sisetu/fc00000571.html","施設情報については上記ＵＲＬからご確認ください。","","","","","139.73917727144","35.2615555811942","公園（観光施設）"
"ヴェルニー公園","","神奈川県横須賀市汐入町1-1","046-826-1490","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000056.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.658483986875","35.2835837222459","公園（観光施設）"
"太田和つつじの丘","","神奈川県横須賀市太田和5-2638","046-822-8333","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000041.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.643035528896","35.2318390787899","公園（観光施設）"
"衣笠山公園","","神奈川県横須賀市小矢部4-922","046-853-8523","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000432.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.659033738612","35.2493273151272","公園（観光施設）"
"田浦梅の里","","神奈川県横須賀市田浦泉町92","046-861-5945","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000110.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.632346551926","35.2867335636346","公園（観光施設）"
"光の丘水辺公園","","神奈川県横須賀市光の丘4-1","046-849-7650","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000048.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.674552702444","35.2263794736117","公園（観光施設）"
"追浜・トンボの王国","","神奈川県横須賀市浦郷町5-2931 追浜浄化センター内","046-865-3321","","http://www.city.yokosuka.kanagawa.jp/6970/sisetu/fc00000068.html","施設情報については上記ＵＲＬからご確認ください。","","","","","139.643126078198","35.3122520098687","公園（観光施設）"
"下町・トンボの王国","","神奈川県横須賀市三春町2-1　下町浄化センター内","046-823-5821","","http://www.city.yokosuka.kanagawa.jp/6970/sisetu/fc00000070.html","施設情報については上記ＵＲＬからご確認ください。","","","","","139.686312432109","35.2691488456282","公園（観光施設）"
"県立観音崎公園","","神奈川県横須賀市鴨居3,4丁目、走水2丁目地内","046-843-8316","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000650.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.741947057266","35.2576359747232","公園（観光施設）"
"観音埼灯台","","神奈川県横須賀市鴨居4-1187","046-841-0311","","https://www.tokokai.org/tourlight/tourlight05/","施設情報については上記URLからご確認ください。","","","","","139.745236730568","35.2562162093896","公園（観光施設）"
"県立塚山公園","","神奈川県横須賀市西逸見町、山中町、長浦町","046-853-8800","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000652.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.641195617777","35.280134092485","公園（観光施設）"
"武山","","神奈川県横須賀市武1丁目","046-822-8301","","http://cocoyoko.net/spot/takeyama.html","施設情報については上記ＵＲＬからご確認ください。","","","","","139.654984568671","35.2212301304224","公園（観光施設）"
"大楠山","","神奈川県横須賀市芦名3丁目","046-822-8301","","http://cocoyoko.net/spot/oogusuyama.html","施設情報については上記URLからご確認ください。","","","","","139.627806667775","35.2506867296729","公園（観光施設）"
"鷹取山公園","","神奈川県横須賀市湘南鷹取3-3-520","046-822-8333","046-821-1523","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000978.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.614469403976","35.3066021753927","公園（観光施設）"
"北下浦海岸","","神奈川県横須賀市野比2,3,5丁目、長沢1,2丁目、津久井1,2丁目","046-822-8301","","http://cocoyoko.net/spot/kitashita-beach.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.682332405016","35.2052817955758","公園（観光施設）"
"秋谷・久留和","","神奈川県横須賀市秋谷","046-822-8301","","","","","","","","139.59914916264","35.2394078560158","公園（観光施設）"
"平和中央公園","","神奈川県横須賀市深田台19-1","046-822-8333","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000484.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.673302617776","35.2755541382808","公園（観光施設）"
"立石公園","","神奈川県横須賀市秋谷3-1584","046-822-8333","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000486.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.597879276613","35.2407776838514","公園（観光施設）"
"市役所前公園","","神奈川県横須賀市小川町9-1","046-822-8333","","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000485.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.671302784212","35.2811436195349","公園（観光施設）"
"愛宕山公園","","神奈川県横須賀市西浦賀1-23","046-822-8333","046-821-1523","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000979.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.718748822562","35.2389778810247","公園（観光施設）"
"三春公園","","神奈川県横須賀市三春町2-1-8","046-822-8333","046-821-1523","http://www.city.yokosuka.kanagawa.jp/5560/sisetu/fc00000980.html","施設情報については下記ＵＲＬからご確認ください。","","","","","139.686021513609","35.2682548850766","公園（観光施設）"
