"名称","名称カナ","住所","TEL","FAX","URL","備考","備考２","備考３","備考４","備考５","経度","緯度","分類"
"追浜駅第１自転車等駐車場","","神奈川県横須賀市追浜町3-3","046-866-6263","046-866-6263","","収容台数：自転車 505台、バイク 400台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","","料金：自転車120円150円バイク160円210円1ヶ月又は3ヶ月単位の定期使用あり。日曜日・祝日・振替休日及び12月29日～1月3日は無料。平成18年7月料金改定（減額）。","","139.625017904392","35.3156520354634","駐輪場"
"追浜駅第２自転車等駐車場","","神奈川県横須賀市鷹取町１－２","046-866-6263","046-866-6263","","収容台数：自転車 270台、バイク 0台","営業時間6:00～20:00（24Ｈ出入可）","管理事務所(追浜駅第1自転車等駐車場内)","料金：1ヶ月又は3ヶ月単位の定期使用。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.624477946706","35.316042023281","駐輪場"
"追浜駅第３自転車等駐車場","","神奈川県横須賀市追浜町3－17先","046-866-6263","046-866-6263","","収容台数：自転車 140台、バイク 50台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","管理事務所（追浜駅第1自転車等駐車場内）","料金：1ヶ月又は3ヶ月単位の定期使用。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.626397776968","35.3153120385239","駐輪場"
"京急田浦駅自転車等駐車場","","神奈川県横須賀市船越町1－201先","046-861-9114","046-861-9114","","収容台数：自転車 150台、バイク 70台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","","料金：自転車120円、バイク160円、1ヶ月又は3ヶ月単位の定期使用あり。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.628967381646","35.3003127785147","駐輪場"
"横須賀駅第１自転車等駐車場","","神奈川県横須賀市東逸見町1-14","046-822-9679","046-822-9679","","収容台数：自転車 190台、バイク 110台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","","料金：自転車120円バイク160円1ヶ月又は3ヶ月単位の定期使用あり。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.65604521529","35.284441682945","駐輪場"
"横須賀駅第２自転車等駐車場","","神奈川県横須賀市汐入町1-1先","046-822-9679","046-822-9679","","収容台数：自転車 163台、バイク 121台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","管理事務所（横須賀駅第1自転車等駐車場内）","料金：1ヶ月又は3ヶ月単位の定期使用。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.657244103589","35.284073697841","駐輪場"
"汐入駅第１自転車等駐車場","","神奈川県横須賀市汐入町2-3","046-825-3226","046-825-3226","","収容台数：自転車 56台、バイク 256台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","","料金：自転車120円バイク160円1ヶ月又は3ヶ月単位の定期使用あり。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.66126371177","35.2813138480776","駐輪場"
"汐入駅第２自転車等駐車場","","神奈川県横須賀市本町3-20先","046-825-3226","046-825-3226","","収容台数：自転車 30台、バイク 20台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","管理事務所（汐入駅第1自転車等駐車場内）","料金：1ヶ月又は3ヶ月単位の定期使用。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.662253611405","35.280343899157","駐輪場"
"衣笠駅第１自転車等駐車場","","神奈川県横須賀市衣笠栄町２－６５","046-853-8940","046-853-8940","","収容台数：自転車 356台、バイク 264台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","","料金：自転車120円バイク160円1ヶ月又は3ヶ月単位の定期使用あり。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.659683672442","35.2577263847324","駐輪場"
"衣笠駅第２自転車等駐車場","","神奈川県横須賀市衣笠栄町１－７０","046-853-8940","046-853-8940","","収容台数：自転車 165台、バイク 130台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","管理事務所（衣笠駅第1自転車等駐車場内）","料金：1ヶ月又は3ヶ月単位の定期使用。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.66188347815","35.2566764780683","駐輪場"
"北久里浜駅第１自転車等駐車場","","神奈川県横須賀市根岸町2-33-15","046-837-6633","046-837-6633","","収容台数：自転車 230台、バイク 170台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","","料金：自転車120円バイク160円1ヶ月又は3ヶ月単位の定期使用あり。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.686361424837","35.247847025553","駐輪場"
"北久里浜駅第２自転車等駐車場","","神奈川県横須賀市根岸町2-500","046-837-6633","046-837-6633","","収容台数：自転車 65台、バイク 45台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","管理事務所（北久里浜駅第1自転車等駐車場内）","料金：1ヶ月又は3ヶ月単位の定期使用。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.685821472546","35.2496668396939","駐輪場"
"北久里浜駅第３自転車等駐車場","","神奈川県横須賀市根岸町３－５","046-837-6633","046-837-6633","","収容台数：自転車 40台、バイク 65台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","管理事務所（北久里浜駅第1自転車等駐車場内）","料金：1ヶ月又は3ヶ月単位の定期使用。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.685121526845","35.2486369603261","駐輪場"
"北久里浜駅第４自転車等駐車場","","神奈川県横須賀市池田町５－１６","046-837-6633","046-837-6633","","収容台数：自転車70台、バイク110台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","管理事務所（北久里浜駅第1自転車等駐車場内）","料金：1月又は3月単位の定期使用。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.687391336101","35.2452972809888","駐輪場"
"馬堀海岸駅自転車等駐車場","","神奈川県横須賀市馬堀町3-20-2","046-841-1944","046-841-1944","","収容台数：自転車 180台、バイク 303台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","","料金：自転車120円バイク160円1ヶ月又は3ヶ月単位の定期使用あり。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.707339750303","35.2597255862165","駐輪場"
"浦賀駅第１自転車等駐車場","","神奈川県横須賀市浦賀町4-1先","046-841-1964","046-841-1964","","収容台数：自転車 153台、バイク 90台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","管理事務所（浦賀駅第2自転車等駐車場内）","料金：1ヶ月又は3ヶ月単位の定期使用。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.715489141913","35.2499365355935","駐輪場"
"浦賀駅第２自転車等駐車場","","神奈川県横須賀市浦賀3-1-1","046-841-1964","046-841-1964","","収容台数：自転車 254台、バイク 180台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","","料金：自転車120円バイク160円1ヶ月又は3ヶ月単位の定期使用あり。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.71469920047","35.2502864989497","駐輪場"
"浦賀駅第３自転車等駐車場","","神奈川県横須賀市浦賀町1-40先","046-841-1964","046-841-1964","","収容台数：自転車 162台、バイク 106台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","管理事務所（浦賀駅第2自転車等駐車場内）","料金：1ヶ月又は3ヶ月単位の定期使用あり。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.714699208125","35.2516563427952","駐輪場"
"久里浜駅自転車等駐車場","","神奈川県横須賀市久里浜1-3-20","046-835-6727","046-835-6727","","収容台数：自転車 894台、バイク 1254台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","","料金：自転車120円150円バイク160円210円1ヶ月又は3ヶ月単位の定期使用あり。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.70215016721","35.2328184786315","駐輪場"
"ＹＲＰ野比駅第１自転車等駐車場","","神奈川県横須賀市野比１－９－３","046-847-1389","046-847-1389","","収容台数：自転車 92台、バイク 130台（125cc以下）","営業時間6:00～20:00（24Ｈ出入可）","","料金：自転車120円バイク160円1ヶ月又は3ヶ月単位の定期使用あり。日曜日・祝日・振替休日及び12月29日～1月３日は無料。","","139.685201984262","35.2126809065994","駐輪場"
