男女,市区町村コード,町丁字コード,地域階層レベル,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,総数,徒歩のみ,鉄道・電車,乗合バス,勤め先・学校のバス,自家用車,ハイヤー・タクシー,オートバイ,自転車,その他,利用交通手段「不詳」
総数,14101,-,1,,,,神奈川県,横浜市鶴見区,,,126087,9856,69952,29080,1952,16456,363,4684,19054,1688,4352
総数,14101,10,2,,,,神奈川県,横浜市鶴見区,大黒町,,18,2,-,-,-,-,-,-,-,-,16
総数,14101,30,3,,,,神奈川県,横浜市鶴見区,生麦,,6017,528,3787,548,119,494,13,183,709,67,293
総数,14101,3001,4,合算地域あり,,3002,神奈川県,横浜市鶴見区,生麦,一丁目,980,129,574,102,9,49,2,31,95,15,97
総数,14101,3002,4,秘匿地域,3001,,神奈川県,横浜市鶴見区,生麦,二丁目,X,X,X,X,X,X,X,X,X,X,X
総数,14101,3003,4,,,,神奈川県,横浜市鶴見区,生麦,三丁目,1691,154,1062,166,31,153,3,41,187,25,74
総数,14101,3004,4,,,,神奈川県,横浜市鶴見区,生麦,四丁目,1925,148,1209,146,43,182,4,70,267,13,65
総数,14101,3005,4,,,,神奈川県,横浜市鶴見区,生麦,五丁目,1421,97,942,134,36,110,4,41,160,14,57
総数,14101,80,3,,,,神奈川県,横浜市鶴見区,岸谷,,5049,331,3292,763,68,536,19,161,558,58,116
総数,14101,8001,4,,,,神奈川県,横浜市鶴見区,岸谷,一丁目,1044,76,703,111,22,81,3,33,108,11,28
総数,14101,8002,4,,,,神奈川県,横浜市鶴見区,岸谷,二丁目,869,62,538,143,14,101,3,35,103,9,15
総数,14101,8003,4,,,,神奈川県,横浜市鶴見区,岸谷,三丁目,1712,106,1092,288,22,225,6,51,207,22,31
総数,14101,8004,4,,,,神奈川県,横浜市鶴見区,岸谷,四丁目,1424,87,959,221,10,129,7,42,140,16,42
総数,14101,120,3,,,,神奈川県,横浜市鶴見区,鶴見,,1636,148,1069,133,22,92,6,28,89,16,160
総数,14101,12001,4,,,,神奈川県,横浜市鶴見区,鶴見,一丁目,1130,98,809,81,20,73,4,17,75,10,35
総数,14101,12002,4,,,,神奈川県,横浜市鶴見区,鶴見,二丁目,506,50,260,52,2,19,2,11,14,6,125
総数,14101,140,3,,,,神奈川県,横浜市鶴見区,寺谷,,2136,216,1461,310,33,154,5,37,164,20,80
