"名称","名称カナ","住所","TEL","FAX","URL","備考","備考２","備考３","備考４","備考５","経度","緯度","分類"
"万代会館","","神奈川県横須賀市津久井2-15-33","046-848-0043","","http://www.city.yokosuka.kanagawa.jp/8120/sisetu/fc00000443.html","【施設内容】現在、建物の供用は中止しています。庭園は開放しており、散策できます。建物も庭園から見学できます。使用料は無料【開館時間】午前９：００～午後５：００【休館日】月曜日・国民の祝日の翌日（その日が月曜日の場合は火曜日）年末年始（12月29日～１月３日）","","","","","139.668113689869","35.1995424370271","文化・教養・厚生施設"
"デュオよこすか","","神奈川県横須賀市本町2-1（総合福祉会館５階）","046-822-0804","046-822-0804","https://www.city.yokosuka.kanagawa.jp/0531/sisetu/fc100000850.html","男女共同参画及び多様な性を尊重する社会を推進するための施設です。ミーティングスペースの利用、男女共同参画に関する図書の貸出・閲覧、情報提供が受けられます。また、女性のための相談室を併設しており、一般相談、法律相談に応じています。","","","","","139.664773401773","35.2830536376128","文化・教養・厚生施設"
"産業交流プラザ","","神奈川県横須賀市本町3-27　ベイスクエアよこすか一番館3階","046-828-1630","046-821-1200","https://www.city.yokosuka.kanagawa.jp/4402/sisetu/fc00000026.html","地域の産業振興の交流拠点として開設された有料の貸館施設です。会議室（６室）と研修室（２室）、コワーキングスペースなどがあり、会議・研修・交流会・親睦会などのほか、物品の販売・展示等営利目的でもご利用いただけます。お気軽にお問合せください。","","","","","139.662703576304","35.2811738252904","文化・教養・厚生施設"
"横須賀芸術劇場","","神奈川県横須賀市本町3-27","046-828-1600","046-828-1623","https://www.yokosuka-arts.or.jp/","本格オペラハウス仕様の大劇場「よこすか芸術劇場」と可動式床で多彩な催しに対応する小劇場「ヨコスカ・ベイサイド・ポケット」。年間を通じて、オペラ、バレエ、クラシックコンサートからポピュラー、歌舞伎まで、様々なジャンルの公演が上演されています。","","","","","139.662713577096","35.2813838091627","文化・教養・厚生施設"
"文化会館","","神奈川県横須賀市深田台50","046-823-2950","046-823-6547","https://www.yokosuka-bunka.info/","大・中ホール、展示室、市民ギャラリー、会議室を備え、プロ・アマのコンサートから演劇、舞踊、合唱の披露を始め、写真、絵画、書画のグループ展、サークル活動の会議や研究発表など、多彩な催しに利用されています。敷地内に約159台の駐車場があります。","","","","","139.672472700627","35.2747242350776","文化・教養・厚生施設"
"はまゆう会館","","神奈川県横須賀市衣笠栄町1-47","046-852-1166","046-852-1180","https://www.hamayu.yokosuka-bunka.info/","516席のホール、展示ギャラリー等を備え、ステージ発表を始め、グループ展、会議や研究発表など、市民の皆様の様々な活動披露の場として自由な形で利用されています。なお、駐車スペースが限られているため、お車での来館はご遠慮ください。","","","","","139.663413381265","35.2590461683586","文化・教養・厚生施設"
"生涯学習センター","","神奈川県横須賀市西逸見町1-38-11　ウェルシティ市民プラザ内","046-822-4838","046-822-4853","http://www.city.yokosuka.kanagawa.jp/8120/sisetu/fc00000568.html","市民の多様な学習ニーズに対応できる場及び機会の充実を図るための本市の生涯学習振興の拠点です。生涯学習の場として、施設の貸出しだけではなく、市民大学を中心とした講座などの実施、生涯学習情報の収集発信を行い、市民がいつでも学べるような機会を提供しています。【開館時間】午前９時から午後１０時 ※図書室 午前９時から午後５時 【休館日】年末年始１２月２９日～１月３日、その他臨時休館日","","","","","139.652274559514","35.2843937310906","文化・教養・厚生施設"
"芥川龍之介文学碑","","神奈川県横須賀市吉倉1丁目　吉倉公園内","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004003.html","芥川龍之介が大正8年に｢新潮｣に発表した小説『蜜柑』の一部を碑文にしています。","","","","","139.649304868474","35.2879035086864","文化・教養・厚生施設"
"正岡子規句碑","","神奈川県横須賀市汐入町1丁目　ヴェルニー公園内","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004008.html","正岡子規の句集『寒山落木』所収の句を碑文にしています。","","","","","139.660103831604","35.2828237560584","文化・教養・厚生施設"
"「めだかの学校」童謡碑","","神奈川県横須賀市稲岡町　三笠公園通り","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004005.html","昭和26年ＮＨＫで発表された茶木滋作詞、中田喜直作曲の童謡を碑文にしています。","","","","","139.672732687535","35.2841834139635","文化・教養・厚生施設"
"岩野泡鳴詩碑","","神奈川県横須賀市深田台　中央公園内","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004000.html","岩野泡鳴の第三詩集（明治38年刊行）所収「田戸の海ぬし」の一部を碑文にしています。","","","","","139.674282534072","35.2754341573594","文化・教養・厚生施設"
"西脇順三郎文学碑","","神奈川県横須賀市鴨居4丁目　観音崎公園内","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004011.html","西脇順三郎の詩集「近代の寓話」(昭和28年刊行)所収『燈台へ行く道』の一部を碑文にしています。","","","","","139.744916761035","35.256866151022","文化・教養・厚生施設"
"与謝野夫妻歌碑","","神奈川県横須賀市西浦賀町1丁目　愛宕山公園内","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004001.html","昭和10年、与謝野寛、晶子夫妻が観音崎、浦賀、久里浜を吟行した折りに詠んだ歌を碑文にしています。","","","","","139.718968807417","35.239237850444","文化・教養・厚生施設"
"じょうきせんの碑","","神奈川県横須賀市久里浜7丁目　ペリー公園内","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004007.html","1853年、開国を迫る四隻の黒船が現れた際の世相を風刺した歌を碑文にしています。","","","","","139.712389471044","35.2238794096409","文化・教養・厚生施設"
"若山牧水歌碑","","神奈川県横須賀市長沢2丁目　長沢海岸","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004004.html","若山牧水の第八歌集『砂丘』（大正4年刊行）所収の歌の一部を碑文にしています。","","","","","139.680792551811","35.2046818682762","文化・教養・厚生施設"
"石田波郷句碑","","神奈川県横須賀市武3丁目20番　一騎塚","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004009.html","石田波郷の句集『春嵐』（昭和32年刊行）所収の句を碑文にしています。","","","","","139.641175671584","35.2200402757969","文化・教養・厚生施設"
"前田夕暮歌碑","","神奈川県横須賀市長井１丁目　富浦公園内","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004002.html","前田夕暮の第六歌集『虹』（昭和3年刊行）所収「長井村に泊まる」の一首を碑文にしています。","","","","","139.624117012057","35.2076214180791","文化・教養・厚生施設"
"吉野秀雄歌碑","","神奈川県横須賀市佐島3丁目　佐島公園内","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004006.html","吉野秀雄歌集（昭和33年刊行）の『晴陰集』29年詠の部所収の歌を碑文にしています。","","","","","139.603938738152","35.2223198235343","文化・教養・厚生施設"
"泉鏡花文学碑","","神奈川県横須賀市秋谷3丁目　立石公園内","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004010.html","泉鏡花の小説「草迷宮」（明治41年刊行）の一部を碑文にしています。","","","","","139.597839280522","35.2408776716031","文化・教養・厚生施設"
"明治憲法起草地記念碑","","神奈川県横須賀市夏島町2","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004012.html","〈市民文化資産〉伊藤博文らが明治憲法の起草をした夏島に建立された記念碑です。","","","","","139.647535813672","35.3235910384171","文化・教養・厚生施設"
"梅田隧道碑","","神奈川県横須賀市浦郷町2丁目","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004013.html","〈市民文化資産〉軍用以外では本市最初のトンネルの完成を記念して建てられた碑です。","","","","","139.634656887837","35.3081224061837","文化・教養・厚生施設"
"ＪＲ横須賀駅","","神奈川県横須賀市東逸見町1丁目1番地","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004014.html","〈市民文化資産〉明治22年大船～横須賀間の横須賀線開通に伴い開業した駅です。","","","","","139.655914225566","35.2841237094248","文化・教養・厚生施設"
"安針塚への道標(JR横須賀駅)","","神奈川県横須賀市東逸見町1丁目1番地","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004015.html","〈市民文化資産〉安針塚修理事業の一環として、大正10年に建てられた道標の１つです。","","","","","139.656114206186","35.2839237227867","文化・教養・厚生施設"
"安針塚への道標(国道･汀橋)","","神奈川県横須賀市西逸見町1丁目36番地","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004015.html","〈市民文化資産〉安針塚修理事業の一環として、大正10年に建てられた道標の１つです。","","","","","139.652164566594","35.2835237994738","文化・教養・厚生施設"
"安針塚への道標(登り口)","","神奈川県横須賀市西逸見町3丁目","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004015.html","〈市民文化資産〉安針塚修理事業の一環として、大正10年に建てられた道標の１つです。","","","","","139.645965142335","35.2811540353197","文化・教養・厚生施設"
"逸見波止場衛門","","神奈川県横須賀市汐入町1丁目1番地","","","http://www.city.yokosuka.kanagawa.jp/2120/g_info/l100004016.html","〈市民文化資産〉建築年代が昭和４年から５年頃と推定される旧横須賀軍港逸見門の衛兵詰所です。","","","","","139.657284101129","35.2842736815966","文化・教養・厚生施設"
