"名称","名称カナ","住所","TEL","FAX","URL","備考","備考２","備考３","備考４","備考５","経度","緯度","分類"
"坂本公園","","神奈川県横須賀市坂本町1-19","","","","トイレあり 面積：5,838㎡ 平成26年4月1日開設","","","","","139.656770079028","35.2723877410256","街区公園（中央部）"
"若松公園","","神奈川県横須賀市若松町3-32-11","","","","トイレなし 面積：426㎡ 平成27年9月5日開設","","","","","139.672430660653","35.2780728269661","街区公園（中央部）"
"公郷５丁目公園","","神奈川県横須賀市公郷5-62-6","","","","トイレなし 面積：1,501㎡ 平成23年4月25日開設","","","","","139.681433863534","35.2567021500389","街区公園（中央部）"
"公郷５丁目第２公園","","神奈川県横須賀市公郷5-62-38","","","","トイレなし 面積：1,419㎡ 平成23年4月25日開設","","","","","139.682049821874","35.258432950497","街区公園（中央部）"
"小矢部１丁目第４公園","","神奈川県横須賀市小矢部1-456-7","","","","トイレなし 面積：508㎡ 平成24年3月26日開設","","","","","139.667649992789","35.2546826125966","街区公園（中央部）"
"森崎３丁目第２公園","","神奈川県横須賀市森崎3-307-108","","","","トイレなし 面積：1,762㎡ 平成25年2月25日開設","","","","","139.676733255318","35.2450524710584","街区公園（中央部）"
"森崎３丁目第３公園","","神奈川県横須賀市森崎3-335-4","","","","トイレなし 面積：625㎡ 平成25年2月12日開設","","","","","139.676843242378","35.2464863190824","街区公園（中央部）"
"安針台公園","","神奈川県横須賀市安針台３１番３５","","","","トイレなし 面積：6,031㎡ 平成4年4月1日開設","","","","","139.647443094561","35.2899273939169","街区公園（中央部）"
"安針台第２公園","","神奈川県横須賀市安針台１７番１６","","","","トイレなし 面積：6,692㎡ 平成8年4月1日開設","","","","","139.642266518821","35.2819769617511","街区公園（中央部）"
"十三峠公園","","神奈川県横須賀市山中町１３３番１","","","","トイレなし 面積：484㎡ 昭和47年4月1日開設","","","","","139.638172918306","35.2798970971866","街区公園（中央部）"
"西逸見公園","","神奈川県横須賀市西逸見町２丁目９番５","","","","トイレなし 面積：259㎡ 昭和22年2月25日開設","","","","","139.647934951667","35.2808310509099","街区公園（中央部）"
"東逸見３丁目公園","","神奈川県横須賀市東逸見町３丁目１４番３２","","","","トイレなし 面積：434㎡ 昭和59年6月21日開設","","","","","139.651738566501","35.2750045208709","街区公園（中央部）"
"東逸見４丁目公園","","神奈川県横須賀市東逸見町４丁目１６番７６","","","","トイレなし 面積：536㎡ 昭和49年4月1日開設","","","","","139.645137181718","35.2720418221891","街区公園（中央部）"
"逸見小学校前公園","","神奈川県横須賀市西逸見町１丁目３２番地","","","","トイレなし 面積：874㎡ 昭和25年6月17日開設","","","","","139.650771693897","35.2833178312326","街区公園（中央部）"
"吉倉公園","","神奈川県横須賀市吉倉町１丁目１０４番","","","","トイレあり 面積：3,215㎡ 昭和25年4月1日開設","","","","","139.64875292546","35.2881464988942","街区公園（中央部）"
"東逸見２丁目公園","","神奈川県横須賀市東逸見町２丁目６番３","","","","トイレなし 面積：407㎡ 平成6年4月1日開設","","","","","139.652957484958","35.2813749566886","街区公園（中央部）"
"逸見が丘公園","","神奈川県横須賀市逸見が丘５０番２９","","","","トイレなし 面積：3,255㎡ 平成7年1月25日開設","","","","","139.649513761228","35.2725327715621","街区公園（中央部）"
"逸見が丘第２公園","","神奈川県横須賀市逸見が丘１１番２","","","","トイレなし 面積：4,673㎡ 平成6年7月1日開設","","","","","139.646421045707","35.2709869290086","街区公園（中央部）"
"逸見が丘第３公園","","神奈川県横須賀市逸見が丘６番２３","","","","トイレなし 面積：1,633㎡ 平成7年1月25日開設","","","","","139.649650742876","35.2716198570968","街区公園（中央部）"
"ウェルシティ公園","","神奈川県横須賀市西逸見町１丁目３８番２６","","","","トイレなし 面積：2,313㎡ 平成12年8月18日開設","","","","","139.652390546971","35.2838417723353","街区公園（中央部）"
"不入斗３丁目公園","","神奈川県横須賀市不入斗町３丁目１８番１４","","","","トイレなし 面積：1,640㎡ 昭和47年4月1日開設","","","","","139.658497882136","35.2679332030489","街区公園（中央部）"
"宇東川公園","","神奈川県横須賀市佐野町１丁目３４番１","","","","だれでもトイレあり 面積：1,857㎡ 昭和23年3月31日開設","","","","","139.669837930946","35.265827306412","街区公園（中央部）"
"上町３丁目公園","","神奈川県横須賀市上町３丁目３３番２","","","","だれでもトイレあり 面積：556㎡ 昭和23年11月1日開設","","","","","139.670740905495","35.2694848862962","街区公園（中央部）"
"緒明山公園","","神奈川県横須賀市上町１丁目５９番１","","","","トイレなし 面積：5,529㎡ 昭和24年3月1日開設","","","","","139.668234068574","35.2749212841357","街区公園（中央部）"
"坂本３丁目公園","","神奈川県横須賀市坂本町３丁目１０番２７","","","","トイレなし 面積：2,277㎡ 平成3年4月1日開設","","","","","139.655218206309","35.2694860405857","街区公園（中央部）"
"坂本台公園","","神奈川県横須賀市鶴が丘２丁目３１番１５２","","","","トイレなし 面積：5,809㎡ 昭和53年12月21日開設","","","","","139.656321071501","35.2663703821625","街区公園（中央部）"
"桜が丘公園","","神奈川県横須賀市坂本町５丁目７番７４","","","","トイレなし 面積：4,551㎡ 昭和34年4月1日開設","","","","","139.65180251432","35.2681881933648","街区公園（中央部）"
"汐入公園","","神奈川県横須賀市汐入町２丁目３８番５","","","","トイレなし 面積：136㎡ 昭和49年4月1日開設","","","","","139.661376680722","35.2787040469295","街区公園（中央部）"
"汐入５丁目公園","","神奈川県横須賀市汐入町５丁目２３番１１","","","","トイレなし 面積：1,114㎡ 昭和52年3月18日開設","","","","","139.658733937126","35.2797800213877","街区公園（中央部）"
"汐入５丁目第２公園","","神奈川県横須賀市汐入町５丁目４５番１２","","","","トイレなし 面積：1,380㎡ 平成1年4月1日開設","","","","","139.655702222508","35.2800200334125","街区公園（中央部）"
"汐見台公園","","神奈川県横須賀市汐見台３丁目１番１３","","","","トイレなし 面積：1,156㎡ 昭和46年9月8日開設","","","","","139.663656407447","35.2636336328242","街区公園（中央部）"
"汐見台３丁目公園","","神奈川県横須賀市汐見台３丁目２４番５８","","","","トイレなし 面積：371㎡ 昭和50年10月9日開設","","","","","139.663875397881","35.2645615265463","街区公園（中央部）"
"諏訪公園","","神奈川県横須賀市緑が丘３３番地","","","","トイレなし 面積：14,884㎡ 明治45年5月1日開設","","","","","139.665143351129","35.2811127707959","街区公園（中央部）"
"鶴が丘２丁目公園","","神奈川県横須賀市鶴が丘２丁目１３番４","","","","トイレなし 面積：318㎡ 昭和53年12月21日開設","","","","","139.657633956529","35.267279278904","街区公園（中央部）"
"豊の坪公園","","神奈川県横須賀市上町４丁目７４番４","","","","トイレあり 面積：1,475㎡ 昭和31年6月30日開設","","","","","139.666591232559","35.2714027201827","街区公園（中央部）"
"平坂公園","","神奈川県横須賀市若松町３丁目２０番地","","","","トイレなし 面積：1,116㎡ 昭和24年3月10日開設","","","","","139.670974793649","35.2777318834055","街区公園（中央部）"
"富士見公園","","神奈川県横須賀市富士見町１丁目６０番３","","","","トイレなし 面積：1,657㎡ 昭和34年4月1日開設","","","","","139.676571353735","35.266696133654","街区公園（中央部）"
"望洋台公園","","神奈川県横須賀市望洋台３６番３５７","","","","トイレなし 面積：1,963㎡ 昭和46年9月8日開設","","","","","139.665787213279","35.2613908548854","街区公園（中央部）"
"港町公園","","神奈川県横須賀市汐入町２丁目１０番１１","","","","トイレなし 面積：606㎡ 昭和26年4月10日開設","","","","","139.659899841959","35.2816708513541","街区公園（中央部）"
"三春５丁目公園","","神奈川県横須賀市三春町５丁目７２番１","","","","トイレなし 面積：1,029㎡ 昭和47年2月18日開設","","","","","139.683270723905","35.2593838281867","街区公園（中央部）"
"三春５丁目第２公園","","神奈川県横須賀市三春町５丁目９番地","","","","トイレなし 面積：1,979㎡ 昭和51年4月1日開設","","","","","139.68529456408","35.261492576337","街区公園（中央部）"
"安浦公園","","神奈川県横須賀市安浦町２丁目１番地","","","","トイレあり 面積：1,220㎡ 昭和23年9月15日開設","","","","","139.677392286954","35.2725184924867","街区公園（中央部）"
"安浦第２公園","","神奈川県横須賀市安浦町３丁目２７番地","","","","トイレなし 面積：173㎡ 昭和36年10月12日開設","","","","","139.680157043174","35.2689488583279","街区公園（中央部）"
"坂本１丁目公園","","神奈川県横須賀市坂本町１丁目４４番１４","","","","トイレなし 面積：492㎡ 平成6年4月1日開設","","","","","139.656913058023","35.2710138762493","街区公園（中央部）"
"三春６丁目公園","","神奈川県横須賀市三春町６丁目９５番１８","","","","トイレなし 面積：1,237㎡ 昭和50年4月1日開設","","","","","139.681530887233","35.2616206091905","街区公園（中央部）"
"安浦２丁目公園","","神奈川県横須賀市安浦町２丁目３３番７","","","","トイレなし 面積：2,001㎡ 平成7年11月10日開設","","","","","139.679994054469","35.2722065189197","街区公園（中央部）"
"坂本１丁目第２公園","","神奈川県横須賀市坂本町１丁目６番地８","","","","トイレなし 面積：1,844㎡ 平成10年11月27日開設","","","","","139.658610913206","35.2736716012596","街区公園（中央部）"
"池上公園","","神奈川県横須賀市池上５丁目３９５０番９","","","","トイレなし 面積：999㎡ 昭和28年4月1日開設","","","","","139.64446719277","35.2655534487602","街区公園（中央部）"
"池上３丁目公園","","神奈川県横須賀市池上３丁目３６２９番２","","","","トイレなし 面積：815㎡ 昭和48年10月1日開設","","","","","139.646489959195","35.2614638865645","街区公園（中央部）"
"栄地谷公園","","神奈川県横須賀市平作５丁目１５４４番６５","","","","だれでもトイレあり 面積：1,261㎡ 昭和29年5月5日開設","","","","","139.646690936698","35.2595030941854","街区公園（中央部）"
"大矢部公園","","神奈川県横須賀市大矢部２丁目１４番地","","","","トイレあり 面積：3,253㎡ 昭和50年3月25日開設","","","","","139.675978342434","35.2422267819078","街区公園（中央部）"
"大矢部第２公園","","神奈川県横須賀市大矢部３丁目１２番１","","","","トイレなし 面積：1,797㎡ 昭和49年4月26日開設","","","","","139.672351696047","35.2396411093525","街区公園（中央部）"
"大矢部３丁目公園","","神奈川県横須賀市大矢部３丁目５８２番１３","","","","トイレなし 面積：3,559㎡ 昭和55年9月8日開設","","","","","139.675351449442","35.2363084193739","街区公園（中央部）"
"大矢部３丁目第２公園","","神奈川県横須賀市大矢部３丁目２２番１","","","","トイレなし 面積：1,000㎡ 昭和57年4月1日開設","","","","","139.677523227638","35.2385461505968","街区公園（中央部）"
"大矢部３丁目第３公園","","神奈川県横須賀市大矢部３丁目６７７番８４","","","","トイレなし 面積：259㎡ 昭和63年4月1日開設","","","","","139.6734925942","35.2392611331879","街区公園（中央部）"
"大矢部４丁目公園","","神奈川県横須賀市大矢部４丁目５５３番１２０","","","","トイレなし 面積：401㎡ 昭和55年6月10日開設","","","","","139.674222565273","35.2357724908391","街区公園（中央部）"
"大矢部中尾公園","","神奈川県横須賀市大矢部５丁目２５番１３","","","","トイレなし 面積：751㎡ 昭和55年4月1日開設","","","","","139.668130091622","35.2389382353565","街区公園（中央部）"
"金谷公園","","神奈川県横須賀市金谷１丁目４８７番２","","","","トイレなし 面積：578㎡ 昭和41年4月18日開設","","","","","139.651279524505","35.2636696725935","街区公園（中央部）"
"金谷第２公園","","神奈川県横須賀市金谷１丁目６３０番１","","","","トイレなし 面積：1,031㎡ 昭和52年4月1日開設","","","","","139.651396528035","35.2654444854103","街区公園（中央部）"
"金谷２丁目公園","","神奈川県横須賀市金谷２丁目４０９番４４","","","","トイレなし 面積：2,044㎡ 平成2年4月1日開設","","","","","139.653714299107","35.2641316257905","街区公園（中央部）"
"金谷２丁目第２公園","","神奈川県横須賀市金谷２丁目４０９番４７","","","","トイレなし 面積：959㎡ 平成2年4月1日開設","","","","","139.654301246463","35.2644555912568","街区公園（中央部）"
"金谷２丁目第３公園","","神奈川県横須賀市金谷２丁目４０９番４８","","","","トイレなし 面積：905㎡ 平成2年4月1日開設","","","","","139.65426425519","35.2651075208397","街区公園（中央部）"
"衣笠栄町公園","","神奈川県横須賀市衣笠栄町３丁目１番１","","","","トイレあり 面積：3,571㎡ 昭和34年4月1日開設","","","","","139.658194820988","35.2585082865054","街区公園（中央部）"
"衣笠栄町第２公園","","神奈川県横須賀市衣笠栄町３丁目６７番地","","","","トイレなし 面積：305㎡ 昭和48年4月1日開設","","","","","139.660307665491","35.2613289351718","街区公園（中央部）"
"衣笠栄町１丁目公園","","神奈川県横須賀市衣笠栄町１丁目４５番地","","","","トイレなし 面積：1,174㎡ 昭和59年4月1日開設","","","","","139.663666353403","35.2583792441107","街区公園（中央部）"
"衣笠住吉公園","","神奈川県横須賀市衣笠町７４番地","","","","トイレなし 面積：2,192㎡ 昭和61年4月1日開設","","","","","139.660421719737","35.243264892429","街区公園（中央部）"
"衣笠町公園","","神奈川県横須賀市衣笠町２８番地","","","","トイレなし 面積：146㎡ 昭和49年4月1日開設","","","","","139.660814671009","35.2439848149948","街区公園（中央部）"
"公郷公園","","神奈川県横須賀市公郷町２丁目１４番地","","","","トイレあり 面積：689㎡ 昭和31年4月1日開設","","","","","139.668195960798","35.2558254692763","街区公園（中央部）"
"公郷第２公園","","神奈川県横須賀市公郷町３丁目９２番地","","","","トイレなし 面積：1,313㎡ 昭和46年4月1日開設","","","","","139.673855517955","35.2582550969018","街区公園（中央部）"
"公郷第３公園","","神奈川県横須賀市公郷町３丁目１２１番地４","","","","トイレなし 面積：976㎡ 昭和44年4月1日開設","","","","","139.672382627363","35.2563833321816","街区公園（中央部）"
"公郷第４公園","","神奈川県横須賀市公郷町１丁目５１番地１","","","","トイレあり 面積：1,376㎡ 昭和44年4月1日開設","","","","","139.671756668942","35.2551074876541","街区公園（中央部）"
"公郷第５公園","","神奈川県横須賀市公郷町５丁目１１１番地３","","","","トイレあり 面積：962㎡ 昭和43年12月11日開設","","","","","139.679400045184","35.2581280251542","街区公園（中央部）"
"公郷第６公園","","神奈川県横須賀市公郷町５丁目４６番地３６","","","","トイレなし 面積：400㎡ 昭和49年11月29日開設","","","","","139.679022083066","35.2589279424504","街区公園（中央部）"
"公郷３丁目公園","","神奈川県横須賀市公郷町３丁目６０番地６１","","","","トイレなし 面積：2,412㎡ 昭和45年9月9日開設","","","","","139.672881604866","35.2586730644051","街区公園（中央部）"
"公郷４丁目公園","","神奈川県横須賀市公郷町４丁目６５番地","","","","トイレなし 面積：953㎡ 昭和51年4月1日開設","","","","","139.675276387375","35.2570912059528","街区公園（中央部）"
"公郷６丁目公園","","神奈川県横須賀市公郷町６丁目２０番地","","","","トイレなし 面積：2,498㎡ 昭和49年4月1日開設","","","","","139.677413234181","35.2607417647837","街区公園（中央部）"
"小矢部１丁目公園","","神奈川県横須賀市小矢部１丁目１０００番地","","","","トイレなし 面積：1,000㎡ 昭和49年3月13日開設","","","","","139.667445002833","35.2524378652808","街区公園（中央部）"
